-rwxr-xr-x 1 root root 6.4M Nov 19 09:50 /usr/bin/myisam_ftdump
-rwxr-xr-x 1 root root 6.4M Nov 19 09:50 /usr/bin/myisamlog
-rwxr-xr-x 1 root root 6.4M Nov 19 09:50 /usr/bin/myisampack
-rw-r--r-- 1 root root 6.1M Mar 19  2024 /usr/share/backgrounds/Fuji_san_by_amaral.png
-rw-r--r-- 1 root root 6.0M Apr  8  2024 /usr/lib/memtest86+/memtest86+ia32.iso
-rw-r--r-- 1 root root 6.0M Apr  8  2024 /usr/lib/memtest86+/memtest86+x64.iso
-rw-r--r-- 1 root root 5.9M Sep 17 09:55 /usr/lib/x86_64-linux-gnu/libc.a
-rw-rw-r-- 1 sibus sibus 5.9M Dec 31 02:05 /home/sibus/Downloads/immo_db.sql
-rw-rw-r-- 1 sibus sibus 5.9M Dec  5 10:47 /home/sibus/.phpls/3%3Afakerphp%2Ffaker%3A1.24.1
-rwxr-xr-x 1 root root 5.9M Jun 19  2025 /usr/sbin/ipp-usb
-rw-r--r-- 1 root root 5.8M Jun 19  2025 /usr/lib/x86_64-linux-gnu/libsysmetrics.so.1
-rwxr-xr-x 1 root root 5.8M Nov 20 11:43 /usr/bin/php8.4
-rwxr-xr-x 1 root root 5.8M Nov 20 11:43 /usr/sbin/php-fpm8.4
-rw-r--r-- 1 root root 5.7M Mar 21  2024 /usr/share/backgrounds/Little_numbat_boy_by_azskalt.png
-rwxr-xr-x 1 root root 5.7M Nov 25 18:47 /opt/az/bin/python3.13
-rwxr-xr-x 1 root root 5.7M Sep 18 03:00 /usr/lib/snapd/snap-update-ns
-rw-r--r-- 1 root root 5.6M Aug  5 11:51 /usr/share/backgrounds/warty-final-ubuntu.png
-rwxr-xr-x 1 root root 5.6M Dec 11 00:02 /opt/brave.com/brave/chrome-management-service
-rwxr-xr-x 1 root root 5.6M Nov 19 15:40 /opt/google/chrome/chrome-management-service
-rw-r--r-- 1 root root 5.5M Dec  4 14:55 /usr/lib/locale/locale-archive
-rw-r--r-- 1 root root 5.3M Mar 21  2024 /usr/share/backgrounds/Numbat_wallpaper_light_3480x2160.png
-rw-r--r-- 1 root root 5.2M Jun  5  2024 /usr/lib/x86_64-linux-gnu/libaom.so.3.8.2
-rw-r--r-- 1 root root 5.1M Aug 27  2022 /usr/share/ieee-data/oui.txt
